Scenario ID,Health Signal,Subsystem,Current Task,Condition,Anomaly,Recommended Procedure,Expected Outcome,Operator Approval Required,Priority
SCN-00519,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00520,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00521,Green,Power,Downlink,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00522,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00523,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00524,Yellow,Communication,Idle,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00525,Red,Payload,Capturing Earth Images,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00526,Yellow,Power,Capturing Earth Images,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00527,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00528,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00529,Yellow,Storage,Calibration,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00530,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00531,Red,Communication,Idle,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00532,Yellow,Power,Idle,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00533,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00534,Red,Payload,Downlink,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00535,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00536,Red,Payload,Calibration,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00537,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00538,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00539,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00540,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00541,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00542,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00543,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00544,Yellow,Power,Calibration,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00545,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00546,Red,Payload,Downlink,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00547,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00548,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00549,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00550,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00551,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00552,Yellow,Storage,Capturing Earth Images,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00553,Yellow,Power,Calibration,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00554,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00555,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00556,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00557,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00558,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00559,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00560,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00561,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00562,Red,Storage,Orbit Correction,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00563,Red,Communication,Idle,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00564,Green,Storage,Capturing Earth Images,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00565,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00566,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00567,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00568,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00569,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00570,Red,Power,Idle,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00571,Red,Power,Downlink,Solar Panel Failure,Power Failure,Disable Payload,Reduce power consumption,Yes,Critical
SCN-00572,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00573,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00574,Red,Communication,Orbit Correction,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00575,Red,Payload,Calibration,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00576,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00577,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00578,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00579,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00580,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00581,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00582,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00583,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00584,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00585,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00586,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00587,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00588,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00589,Yellow,Power,Capturing Earth Images,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00590,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00591,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00592,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00593,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00594,Yellow,Thermal,Calibration,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00595,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00596,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00597,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00598,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00599,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00600,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00601,Yellow,Thermal,Orbit Correction,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00602,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00603,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00604,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00605,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00606,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00607,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00608,Yellow,Communication,Capturing Earth Images,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00609,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00610,Red,Storage,Idle,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00611,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00612,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00613,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00614,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00615,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00616,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00617,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00618,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00619,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00620,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00621,Red,Storage,Capturing Earth Images,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00622,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00623,Red,Power,Orbit Correction,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00624,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00625,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00626,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00627,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00628,Red,Payload,Orbit Correction,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00629,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00630,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00631,Yellow,Power,Capturing Earth Images,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00632,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00633,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00634,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00635,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00636,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00637,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00638,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00639,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00640,Yellow,Thermal,Idle,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00641,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00642,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00643,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00644,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00645,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00646,Green,Power,Idle,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00647,Yellow,Payload,Idle,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00648,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00649,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00650,Yellow,Storage,Idle,Storage 70-90%,Potential Storage Anomaly,Schedule Downlink,Avoid storage overflow,Yes,Medium
SCN-00651,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00652,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00653,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00654,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00655,Red,Storage,Downlink,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00656,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00657,Green,Communication,Idle,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00658,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00659,Yellow,Communication,Calibration,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00660,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00661,Green,Thermal,Capturing Earth Images,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00662,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00663,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00664,Yellow,Payload,Idle,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00665,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00666,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00667,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00668,Yellow,Payload,Orbit Correction,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00669,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00670,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00671,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00672,Red,Communication,Downlink,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00673,Red,Payload,Orbit Correction,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00674,Green,Power,Calibration,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00675,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00676,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00677,Yellow,Communication,Idle,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00678,Green,Power,Downlink,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00679,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00680,Red,Thermal,Downlink,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00681,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00682,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00683,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00684,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00685,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00686,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00687,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00688,Green,Storage,Calibration,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00689,Green,Power,Orbit Correction,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00690,Yellow,Payload,Idle,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00691,Green,Storage,Orbit Correction,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00692,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00693,Red,Payload,Capturing Earth Images,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00694,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00695,Red,Thermal,Downlink,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00696,Green,Power,Capturing Earth Images,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00697,Green,Thermal,Downlink,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00698,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00699,Yellow,Power,Downlink,Solar Output Low,Potential Power Anomaly,Rotate Solar Panels,Increase charging efficiency,Yes,Medium
SCN-00700,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00701,Red,Power,Calibration,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00702,Green,Power,Idle,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00703,Green,Storage,Idle,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00704,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00705,Red,Payload,Idle,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00706,Red,Payload,Idle,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00707,Yellow,Payload,Calibration,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00708,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00709,Red,Communication,Capturing Earth Images,Communication Lost,Communication Failure,Queue Commands,Resume during next communication window,Yes,Critical
SCN-00710,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00711,Red,Storage,Idle,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00712,Red,Power,Idle,Battery < 20%,Power Failure,Enter Safe Mode,Prevent complete battery depletion,Yes,Critical
SCN-00713,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00714,Yellow,Power,Downlink,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00715,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00716,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00717,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00718,Green,Thermal,Idle,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00719,Green,Payload,Capturing Earth Images,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00720,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00721,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00722,Yellow,Payload,Downlink,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00723,Yellow,Power,Idle,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00724,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00725,Red,Storage,Calibration,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00726,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00727,Green,Power,Capturing Earth Images,Solar Output Normal,None,Continue Charging,Battery remains healthy,No,Low
SCN-00728,Yellow,Power,Calibration,Battery 30-70%,Potential Power Anomaly,Reduce Payload Power,Battery drain reduced,Yes,Medium
SCN-00729,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00730,Green,Payload,Orbit Correction,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00731,Green,Payload,Downlink,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00732,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00733,Green,Storage,Downlink,Storage < 70%,None,Continue Capturing Images,Store additional payload data,No,Low
SCN-00734,Yellow,Thermal,Capturing Earth Images,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00735,Green,Communication,Calibration,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00736,Green,Payload,Idle,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00737,Red,Storage,Idle,Storage > 95%,Storage Failure,Stop Image Capture and Downlink,Free storage space,Yes,Critical
SCN-00738,Red,Thermal,Orbit Correction,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00739,Yellow,Communication,Downlink,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00740,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00741,Red,Payload,Calibration,Camera Failure,Payload Failure,Restart Camera Module,Restore payload functionality,Yes,Critical
SCN-00742,Yellow,Communication,Orbit Correction,Weak Signal,Potential Communication Anomaly,Prepare Next Ground Pass,Avoid communication failure,Yes,Medium
SCN-00743,Green,Payload,Calibration,Camera Operational,None,Capture Earth Images,Mission objective achieved,No,Low
SCN-00744,Red,Thermal,Calibration,Temperature > 70°C,Thermal Failure,Shutdown Payload,Prevent hardware damage,Yes,Critical
SCN-00745,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00746,Green,Thermal,Orbit Correction,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00747,Green,Power,Calibration,Battery > 70%,None,Continue Mission,Nominal power operation,No,Low
SCN-00748,Yellow,Thermal,Downlink,Temperature 45-65°C,Potential Thermal Anomaly,Reduce CPU Load,Prevent overheating,Yes,Medium
SCN-00749,Yellow,Payload,Capturing Earth Images,Camera Temperature Rising,Potential Payload Anomaly,Reduce Image Capture Rate,Prevent camera shutdown,Yes,Medium
SCN-00750,Green,Thermal,Calibration,Temperature < 45°C,None,Continue Operation,Subsystem remains stable,No,Low
SCN-00751,Green,Communication,Downlink,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00752,Green,Communication,Orbit Correction,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
SCN-00753,Green,Communication,Capturing Earth Images,Signal Stable,None,Continue Downlink,Telemetry transmitted successfully,No,Low
